"","incomeChangeHH","age","profile_gender","profile_GOR","profile_socialgrade_cie","pastvote_ge_2019","approveUKGovt"
"652","It has increased","66","Male","East Midlands","A","Labour","Neither approve nor disapprove"
"653","It is less than half what it was","55","Female","Wales","C1","Brexit Party","Disapprove"
"654","It has decreased by between a quarter and a half","26","Female","West Midlands","A","Labour","Disapprove"
"655","It hasn’t changed","41","Female","Scotland","C1","Liberal Democrat","Approve"
"656","It hasn’t changed","27","Male","South East","E",NA,"Neither approve nor disapprove"
"657","It has decreased by less than a quarter","49","Female","South West","B","Conservative","Neither approve nor disapprove"
"658","It hasn’t changed","59","Male","West Midlands","C2","Conservative","Strongly approve"
"659","It hasn’t changed","55","Female","North East","B","Conservative","Approve"
"660","It hasn’t changed","61","Female","West Midlands","B","Conservative","Approve"
"661","It is less than half what it was","65","Male","Wales","C2","Labour","Disapprove"
"662","It hasn’t changed","48","Female","South West","E","Conservative","Strongly approve"
"663","It has increased","71","Female","Yorkshire and the Humber","C2",NA,"Neither approve nor disapprove"
"664","It hasn’t changed","80","Female","Yorkshire and the Humber","A","Liberal Democrat","Neither approve nor disapprove"
"665","It hasn’t changed","70","Male","North West","D","Conservative","Approve"
"666","It hasn’t changed","43","Female","London","A","Conservative","Neither approve nor disapprove"
"667","It has decreased by less than a quarter","64","Male","South East","E",NA,"Strongly approve"
"668","It hasn’t changed","63","Female","Yorkshire and the Humber","E","Conservative","Approve"
"669","It hasn’t changed","63","Female","South East","C1","Conservative","Approve"
"670","It has decreased by less than a quarter","59","Male","South West","D","Conservative","Approve"
"671","It hasn’t changed","51","Female","Scotland","E","Scottish National Party (SNP)","Strongly disapprove"
"672","It hasn’t changed","54","Female","Scotland","C1","Scottish National Party (SNP)","Disapprove"
"673","It hasn’t changed","66","Male","West Midlands","C1","Conservative","Approve"
"674","It has increased","67","Female","London","C1",NA,"Disapprove"
"675","It hasn’t changed","27","Female","South West","C2","Liberal Democrat","Strongly disapprove"
"676","It hasn’t changed","74","Female","East Midlands","A",NA,"Approve"
"677","It has decreased by less than a quarter","70","Male","Wales","C1","Conservative","Approve"
"678","It has decreased by between a quarter and a half","77","Male","South West","C1","Liberal Democrat","Disapprove"
"679","It hasn’t changed","46","Male","Scotland","C1","Conservative","Neither approve nor disapprove"
"680","It hasn’t changed","47","Male","Scotland","D","Scottish National Party (SNP)","Disapprove"
"681","It hasn’t changed","59","Female","North West","A","Labour","Approve"
"682","It has decreased by less than a quarter","38","Female","Wales","E","Labour","Neither approve nor disapprove"
"683","It hasn’t changed","42","Female","Wales","C1","Labour","Neither approve nor disapprove"
"684","It is less than half what it was","43","Male","Scotland","E",NA,"Strongly disapprove"
"685","It hasn’t changed","53","Female","Scotland","C2","Labour","Approve"
"686","It hasn’t changed","62","Female","South East","A","Conservative","Approve"
"687","It hasn’t changed","63","Female","Scotland","A","Scottish National Party (SNP)","Strongly disapprove"
"688","Don’t know","30","Male","Wales","E","Liberal Democrat","Neither approve nor disapprove"
"689","It hasn’t changed","49","Female","Scotland","C1","Conservative","Approve"
"690","It hasn’t changed","48","Male","East of England","D",NA,"Approve"
"691","It has decreased by between a quarter and a half","54","Female","West Midlands","C1",NA,"Approve"
"692","It has decreased by less than a quarter","36","Male","Scotland","B","Labour","Strongly disapprove"
"693","It hasn’t changed","64","Male","Yorkshire and the Humber","D","Conservative","Neither approve nor disapprove"
"694","It is less than half what it was","63","Female","East of England","B","Liberal Democrat","Approve"
"695","It has decreased by less than a quarter","30","Female","London","C1",NA,"Neither approve nor disapprove"
"696","It has decreased by between a quarter and a half","59","Male","Scotland","D","Conservative","Approve"
"697","It hasn’t changed","63","Female","North West","A","Conservative","Approve"
"698","It hasn’t changed","39","Female","Scotland","C2","Conservative","Approve"
"699","It hasn’t changed","70","Male","Scotland","C2","Scottish National Party (SNP)","Strongly disapprove"
"700","It hasn’t changed","85","Male","Scotland","A","Conservative","Neither approve nor disapprove"
"701","It hasn’t changed","56","Male","Scotland","B","Scottish National Party (SNP)","Approve"
"702","It hasn’t changed","74","Female","West Midlands","E","Don't know","Neither approve nor disapprove"
"703","It hasn’t changed","77","Female","East of England","E","Conservative","Strongly approve"
"704","It has decreased by less than a quarter","72","Female","London","B","Conservative","Neither approve nor disapprove"
"705","It hasn’t changed","74","Male","Wales","B","Plaid Cymru","Strongly disapprove"
"706","It has decreased by less than a quarter","57","Female","Scotland","B","Scottish National Party (SNP)","Approve"
"707","It has decreased by between a quarter and a half","44","Female","Wales","B","Plaid Cymru","Strongly disapprove"
"708","It hasn’t changed","55","Female","Wales","C1","Plaid Cymru","Neither approve nor disapprove"
"709","It hasn’t changed","64","Male","Wales","C2",NA,"Neither approve nor disapprove"
"710","It hasn’t changed","71","Male","Scotland","B","Conservative","Approve"
"711","It hasn’t changed","76","Female","Scotland","B","Scottish National Party (SNP)","Disapprove"
"712","It hasn’t changed","48","Female","West Midlands","C2",NA,"Neither approve nor disapprove"
"713","It hasn’t changed","31","Male","Scotland","D","Scottish National Party (SNP)","Disapprove"
"714","It hasn’t changed","62","Male","North West","B","Conservative","Approve"
"715","It has decreased by between a quarter and a half","61","Male","East of England","A","Conservative","Approve"
"716","It has decreased by less than a quarter","51","Male","West Midlands","B","Conservative","Strongly approve"
"717","It hasn’t changed","65","Male","North East","A",NA,"Approve"
"718","It hasn’t changed","50","Male","London","A","Labour","Disapprove"
"719","It hasn’t changed","61","Male","Wales","E","Liberal Democrat","Strongly disapprove"
"720","It hasn’t changed","43","Female","South West","C2","Conservative","Approve"
"721","It hasn’t changed","71","Male","South East","C1","Conservative","Approve"
"722","It hasn’t changed","34","Male","South West","B","Conservative","Disapprove"
"723","It has decreased by between a quarter and a half","30","Male","East of England","B","Labour","Disapprove"
"724","It hasn’t changed","46","Male","Scotland","C1","Liberal Democrat","Neither approve nor disapprove"
"725","It hasn’t changed","48","Male","London","B","Brexit Party","Approve"
"726","It hasn’t changed","38","Female","Scotland","A","Conservative","Disapprove"
"727","It has decreased by less than a quarter","48","Female","West Midlands","C1","Conservative","Approve"
"728","It hasn’t changed","74","Female","South East","C1","Conservative","Strongly disapprove"
"729","It hasn’t changed","23","Female","London","A","Liberal Democrat","Approve"
"730","It hasn’t changed","66","Male","South East","C2","Conservative","Approve"
"731","It has decreased by less than a quarter","34","Female","Scotland","B","Scottish National Party (SNP)","Strongly disapprove"
"732","It hasn’t changed","32","Male","South East","E","Labour","Strongly disapprove"
"733","It hasn’t changed","33","Female","Scotland","C2","Scottish National Party (SNP)","Neither approve nor disapprove"
"734","It hasn’t changed","62","Female","London","D","Conservative","Approve"
"735","It has decreased by between a quarter and a half","24","Female","London","C1",NA,"Disapprove"
"736","It has decreased by less than a quarter","67","Male","Wales","E","Brexit Party","Approve"
"737","It has decreased by less than a quarter","29","Female","South East","A","Green","Strongly disapprove"
"738","It is less than half what it was","49","Male","Yorkshire and the Humber","E",NA,"Neither approve nor disapprove"
"739","It hasn’t changed","64","Female","East Midlands","E","Other","Disapprove"
"740","It hasn’t changed","74","Male","West Midlands","C2","Conservative","Strongly disapprove"
"741","It hasn’t changed","65","Female","Scotland","B","Labour","Neither approve nor disapprove"
"742","Don’t know","26","Male","London","C1","Labour","Neither approve nor disapprove"
"743","It hasn’t changed","73","Female","Wales","B","Conservative","Approve"
"744","It hasn’t changed","74","Male","Wales","B","Labour","Neither approve nor disapprove"
"745","It hasn’t changed","62","Female","Wales","D","Labour","Strongly approve"
"746","It has decreased by less than a quarter","49","Female","East of England","B","Conservative","Strongly approve"
"747","Don’t know","22","Female","East Midlands","C1","Other","Approve"
"748","It hasn’t changed","63","Male","Scotland","C1","Scottish National Party (SNP)","Strongly disapprove"
"749","It hasn’t changed","49","Male","Wales","B","Conservative","Approve"
"750","It hasn’t changed","66","Female","Yorkshire and the Humber","D",NA,"Neither approve nor disapprove"
"751","It has decreased by between a quarter and a half","23","Male","North East","C1","Liberal Democrat","Neither approve nor disapprove"
"752","It hasn’t changed","69","Female","London","B","Labour","Strongly disapprove"
"753","It hasn’t changed","31","Female","Scotland","C2","Scottish National Party (SNP)","Neither approve nor disapprove"
"754","It has decreased by less than a quarter","26","Female","South East","D","Labour","Disapprove"
"755","Don’t know","36","Male","East of England","D","Liberal Democrat","Neither approve nor disapprove"
"756","It hasn’t changed","59","Male","Scotland","E","Conservative","Neither approve nor disapprove"
"757","It hasn’t changed","69","Male","Yorkshire and the Humber","E","Labour","Neither approve nor disapprove"
"758","It hasn’t changed","56","Male","West Midlands","D","Green","Neither approve nor disapprove"
"759","Don’t know","49","Male","East Midlands","C2","Liberal Democrat","Neither approve nor disapprove"
"760","It hasn’t changed","46","Male","South East","C2","Conservative","Approve"
"761","It hasn’t changed","45","Male","East Midlands","C2","Other","Strongly approve"
"762","It has decreased by less than a quarter","34","Female","North West","C1","Labour","Strongly disapprove"
"763","It hasn’t changed","51","Female","North West","C2","Conservative","Neither approve nor disapprove"
"764","It is less than half what it was","59","Female","North West","C2","Conservative","Approve"
"765","It hasn’t changed","67","Female","Yorkshire and the Humber","C2","Conservative","Approve"
"766","It has decreased by less than a quarter","30","Female","London","D","Labour","Disapprove"
"767","It has decreased by between a quarter and a half","59","Female","South West","C2","Labour","Strongly disapprove"
"768","It hasn’t changed","29","Female","North East","B","Labour","Approve"
"769","It hasn’t changed","32","Female","West Midlands","B","Labour","Neither approve nor disapprove"
"770","It hasn’t changed","73","Female","South West","C2","Conservative","Approve"
"771","It has decreased by less than a quarter","46","Male","East Midlands","D",NA,"Neither approve nor disapprove"
"772","It has decreased by less than a quarter","29","Male","North East","C2","Conservative","Approve"
"773","It has decreased by less than a quarter","53","Male","West Midlands","C2","Conservative","Neither approve nor disapprove"
"774","It hasn’t changed","28","Male","South East","C1","Conservative","Neither approve nor disapprove"
"775","It hasn’t changed","41","Male","Yorkshire and the Humber","E","Labour","Strongly disapprove"
"776","It has decreased by between a quarter and a half","52","Male","North West","C2","Liberal Democrat","Disapprove"
"777","It has decreased by less than a quarter","51","Female","South West","C1","Conservative","Approve"
"778","It hasn’t changed","66","Male","South West","C2","Labour","Neither approve nor disapprove"
"779","It hasn’t changed","28","Female","South West","B","Other","Neither approve nor disapprove"
"780","It hasn’t changed","24","Male","London","B","Labour","Disapprove"
"781","It hasn’t changed","35","Male","West Midlands","B","Conservative","Approve"
"782","It hasn’t changed","29","Male","Yorkshire and the Humber","B",NA,"Neither approve nor disapprove"
"783","It hasn’t changed","54","Female","North West","C1","Conservative","Approve"
"784","It hasn’t changed","52","Male","South West","C2","Labour","Neither approve nor disapprove"
"785","It has decreased by less than a quarter","62","Female","South East","C2","Conservative","Strongly approve"
"786","It has decreased by less than a quarter","62","Female","North West","B","Labour","Strongly disapprove"
"787","It has decreased by between a quarter and a half","65","Female","West Midlands","C1","Labour","Disapprove"
"788","It hasn’t changed","72","Male","North West","C2","Conservative","Strongly approve"
"789","It hasn’t changed","60","Male","Yorkshire and the Humber","A",NA,"Neither approve nor disapprove"
"790","It hasn’t changed","67","Female","Yorkshire and the Humber","C2","Labour","Strongly disapprove"
"791","It hasn’t changed","53","Female","East Midlands","C2","Conservative","Approve"
"792","It hasn’t changed","75","Female","East of England","C2","Conservative","Approve"
"793","It hasn’t changed","55","Male","East Midlands","C2","Conservative","Approve"
"794","It has decreased by less than a quarter","28","Female","South East","C1","Conservative","Strongly approve"
"795","It hasn’t changed","64","Female","North East","B","Labour","Disapprove"
"796","It hasn’t changed","27","Male","South East","B","Liberal Democrat","Disapprove"
"797","It hasn’t changed","70","Female","South West","E","Labour","Approve"
"798","It hasn’t changed","67","Female","North West","B","Conservative","Approve"
"799","It is less than half what it was","29","Female","London","A",NA,"Approve"
"800","It hasn’t changed","73","Male","East of England","B","Conservative","Approve"
"801","It hasn’t changed","83","Male","East of England","B","Conservative","Approve"
"802","It hasn’t changed","69","Female","North West","C2","Conservative","Approve"
"803","It has decreased by between a quarter and a half","60","Female","Wales","C2","Labour","Approve"
"804","It has increased","84","Male","South West","C2","Labour","Neither approve nor disapprove"
"805","It hasn’t changed","26","Female","London","B","Labour","Strongly disapprove"
"806","It hasn’t changed","26","Female","North East","C1","Labour","Disapprove"
"807","It hasn’t changed","71","Male","North East","E","Brexit Party","Approve"
"808","It hasn’t changed","51","Male","South West","C2","Conservative","Approve"
"809","It hasn’t changed","57","Female","North East","C2","Conservative","Approve"
"810","It hasn’t changed","76","Female","East of England","B","Labour","Strongly disapprove"
"811","It hasn’t changed","23","Female","London","C2","Other","Disapprove"
"812","It hasn’t changed","21","Female","North West","C2","Labour","Disapprove"
"813","It hasn’t changed","27","Female","Yorkshire and the Humber","D","Green","Neither approve nor disapprove"
"814","It has decreased by less than a quarter","26","Female","Scotland","C2",NA,"Strongly disapprove"
"815","It has decreased by less than a quarter","22","Female","Scotland","C2","Labour","Approve"
"816","It hasn’t changed","23","Female","South West","C1","Liberal Democrat","Neither approve nor disapprove"
"817","Don’t know","26","Male","London","E","Labour","Strongly disapprove"
"818","It hasn’t changed","54","Female","East Midlands","C2","Conservative","Approve"
"819","Don’t know","25","Female","North West","C2","Labour","Disapprove"
"820","It is less than half what it was","22","Female","East Midlands","C1",NA,"Neither approve nor disapprove"
"821","It has decreased by less than a quarter","25","Female","London","E",NA,"Neither approve nor disapprove"
"822","Don’t know","23","Male","London","C2","Liberal Democrat","Neither approve nor disapprove"
"823","Don’t know","28","Male","Yorkshire and the Humber","E","Brexit Party","Strongly approve"
"824","It hasn’t changed","24","Female","Yorkshire and the Humber","B","Labour","Strongly disapprove"
"825","It hasn’t changed","51","Male","Yorkshire and the Humber","C1","Conservative","Approve"
"826","It is less than half what it was","36","Female","Yorkshire and the Humber","C1","Scottish National Party (SNP)","Neither approve nor disapprove"
"827","It hasn’t changed","55","Female","West Midlands","E","Labour","Neither approve nor disapprove"
"828","It hasn’t changed","48","Male","East of England","C1","Conservative","Approve"
"829","It hasn’t changed","62","Female","East of England","C2","Conservative","Approve"
"830","It hasn’t changed","68","Female","South West","C2","Conservative","Strongly approve"
"831","It has decreased by less than a quarter","55","Male","East of England","C2","Conservative","Approve"
"832","It hasn’t changed","59","Male","West Midlands","E","Labour","Neither approve nor disapprove"
"833","It hasn’t changed","80","Male","South West","C1","Liberal Democrat","Approve"
"834","It hasn’t changed","70","Female","West Midlands","E","Brexit Party","Approve"
"835","It hasn’t changed","44","Male","London","C1","Liberal Democrat","Strongly disapprove"
"836","It hasn’t changed","44","Female","West Midlands","D","Liberal Democrat","Disapprove"
"837","It has decreased by less than a quarter","45","Male","West Midlands","C1","Conservative","Neither approve nor disapprove"
"838","It has decreased by less than a quarter","60","Female","Yorkshire and the Humber","C1","Brexit Party","Neither approve nor disapprove"
"839","It has decreased by less than a quarter","64","Female","West Midlands","D","Conservative","Neither approve nor disapprove"
"840","It hasn’t changed","66","Female","Yorkshire and the Humber","C2","Conservative","Strongly approve"
"841","It hasn’t changed","71","Female","South East","C1","Conservative","Approve"
"842","It hasn’t changed","37","Female","North West","D","Labour","Neither approve nor disapprove"
"843","It has decreased by less than a quarter","48","Female","West Midlands","A","Conservative","Strongly approve"
"844","It hasn’t changed","56","Male","South East","C1","Labour","Approve"
"845","It hasn’t changed","77","Female","North West","C1","Conservative","Approve"
"846","It hasn’t changed","51","Female","London","B","Conservative","Approve"
"847","It has decreased by between a quarter and a half","44","Female","Scotland","C2","Scottish National Party (SNP)","Neither approve nor disapprove"
"848","It hasn’t changed","57","Female","London","C1","Conservative","Approve"
"849","It hasn’t changed","68","Female","East of England","C1",NA,"Neither approve nor disapprove"
"850","It hasn’t changed","42","Female","West Midlands","C2",NA,"Strongly disapprove"
"851","It hasn’t changed","57","Male","South West","C1","Labour","Neither approve nor disapprove"
"852","Don’t know","40","Female","South West","E","Liberal Democrat","Approve"
"853","It has decreased by less than a quarter","62","Female","East of England","C1","Conservative","Disapprove"
"854","It is less than half what it was","53","Female","North West","C1","Liberal Democrat","Strongly approve"
"855","It hasn’t changed","51","Female","East of England","C2","Labour","Disapprove"
"856","It hasn’t changed","59","Female","North East","E","Liberal Democrat","Neither approve nor disapprove"
"857","It hasn’t changed","47","Female","North West","D","Conservative","Approve"
"858","It hasn’t changed","32","Male","North West","E","Labour","Strongly disapprove"
"859","It hasn’t changed","73","Female","Yorkshire and the Humber","C2","Conservative","Approve"
"860","It hasn’t changed","36","Female","Scotland","B","Scottish National Party (SNP)","Disapprove"
"861","It hasn’t changed","72","Female","East of England","C1","Conservative","Strongly approve"
"862","It has decreased by less than a quarter","57","Male","East of England","C1","Conservative","Approve"
"863","It hasn’t changed","64","Female","West Midlands","C1","Conservative","Strongly approve"
"864","It hasn’t changed","72","Male","Scotland","C2","Conservative","Approve"
"865","It hasn’t changed","33","Female","South East","C1","Labour","Disapprove"
"866","It hasn’t changed","61","Female","South East","E",NA,"Neither approve nor disapprove"
"867","It hasn’t changed","56","Male","West Midlands","E","Labour","Strongly disapprove"
"868","It has decreased by less than a quarter","53","Female","West Midlands","C1","Conservative","Approve"
"869","It has decreased by less than a quarter","41","Female","South West","B","Conservative","Neither approve nor disapprove"
"870","It hasn’t changed","73","Female","South East","E","Conservative","Approve"
"871","It has decreased by less than a quarter","24","Male","South West","C2",NA,"Disapprove"
"872","It has decreased by less than a quarter","34","Female","South East","C2","Conservative","Approve"
"873","It hasn’t changed","36","Female","West Midlands","C1","Labour","Neither approve nor disapprove"
"874","It is less than half what it was","50","Female","West Midlands","D",NA,"Disapprove"
"875","It hasn’t changed","29","Female","Scotland","D","Scottish National Party (SNP)","Neither approve nor disapprove"
"876","It hasn’t changed","53","Female","Yorkshire and the Humber","B",NA,"Approve"
"877","It hasn’t changed","50","Female","London","A","Labour","Strongly disapprove"
"878","It hasn’t changed","51","Female","West Midlands","E","Labour","Strongly disapprove"
"879","It is less than half what it was","56","Female","North West","C2","Conservative","Approve"
"880","It hasn’t changed","40","Female","West Midlands","A","Labour","Strongly disapprove"
"881","It hasn’t changed","36","Female","North West","E",NA,"Approve"
"882","It has decreased by between a quarter and a half","62","Male","South East","C1","Conservative","Approve"
"883","Don’t know","65","Female","East Midlands","B","Conservative","Approve"
"884","It hasn’t changed","39","Male","London","B","Liberal Democrat","Disapprove"
"885","It is less than half what it was","48","Female","South West","E",NA,"Neither approve nor disapprove"
"886","It has increased","71","Female","West Midlands","E","Conservative","Neither approve nor disapprove"
"887","It hasn’t changed","49","Female","London","C1","Liberal Democrat","Approve"
"888","Don’t know","24","Male","Scotland","C2","Conservative","Approve"
"889","It hasn’t changed","50","Male","South East","B","Labour","Disapprove"
"890","It hasn’t changed","58","Male","East Midlands","C1","Labour","Neither approve nor disapprove"
"891","It hasn’t changed","41","Female","South East","C1","Conservative","Approve"
"892","It has decreased by less than a quarter","39","Male","South East","C1","Conservative","Approve"
"893","It hasn’t changed","56","Male","East Midlands","C1","Green","Neither approve nor disapprove"
"894","It hasn’t changed","48","Female","South East","A","Labour","Approve"
"895","It hasn’t changed","72","Female","East of England","C2",NA,"Neither approve nor disapprove"
"896","It hasn’t changed","65","Female","West Midlands","E","Conservative","Approve"
"897","It hasn’t changed","55","Male","East of England","C2","Conservative","Strongly approve"
"898","It is less than half what it was","44","Female","Yorkshire and the Humber","C2","Don't know","Neither approve nor disapprove"
"899","It hasn’t changed","41","Male","West Midlands","C1","Labour","Neither approve nor disapprove"
"900","Don’t know","62","Male","Scotland","C2","Scottish National Party (SNP)","Strongly disapprove"
"901","It hasn’t changed","83","Female","Yorkshire and the Humber","E","Liberal Democrat","Neither approve nor disapprove"
"902","It has decreased by less than a quarter","59","Female","East of England","C1","Labour","Disapprove"
"903","It has increased","74","Female","East of England","E","Conservative","Strongly approve"
"904","It hasn’t changed","60","Female","West Midlands","B","Conservative","Approve"
"905","Don’t know","46","Female","East of England","C2","Conservative","Approve"
"906","It has decreased by less than a quarter","28","Male","East Midlands","A",NA,"Neither approve nor disapprove"
"907","It hasn’t changed","40","Female","West Midlands","C2","Conservative","Approve"
"908","It hasn’t changed","64","Female","East Midlands","D","Conservative","Strongly approve"
"909","It hasn’t changed","75","Female","East of England","C1","Conservative","Approve"
"910","It has decreased by less than a quarter","56","Male","East of England","E","Labour","Disapprove"
"911","It is less than half what it was","38","Female","London","B","Labour","Disapprove"
"912","It hasn’t changed","48","Male","West Midlands","C2","Conservative","Strongly approve"
"913","It has increased","61","Male","North West","E","Labour","Neither approve nor disapprove"
"914","It hasn’t changed","37","Male","North West","B","Liberal Democrat","Disapprove"
"915","It has decreased by less than a quarter","38","Male","Yorkshire and the Humber","C1","Liberal Democrat","Neither approve nor disapprove"
"916","It hasn’t changed","42","Female","North West","B","Labour","Strongly disapprove"
"917","It hasn’t changed","39","Female","East Midlands","C2","Liberal Democrat","Approve"
"918","It hasn’t changed","48","Male","Scotland","E","Scottish National Party (SNP)","Strongly disapprove"
"919","It hasn’t changed","38","Female","London","D","Labour","Neither approve nor disapprove"
"920","It hasn’t changed","47","Female","North East","D",NA,"Neither approve nor disapprove"
"921","It hasn’t changed","54","Male","Yorkshire and the Humber","C1","Conservative","Approve"
"922","It hasn’t changed","41","Male","West Midlands","C1","Conservative","Approve"
"923","It hasn’t changed","69","Female","South East","C1","Conservative","Approve"
"924","It hasn’t changed","58","Female","South West","B","Conservative","Approve"
"925","It has increased","48","Male","North East","D","Labour","Neither approve nor disapprove"
"926","It hasn’t changed","62","Male","North East","A","Conservative","Strongly approve"
"927","It has decreased by less than a quarter","41","Female","East of England","C2","Liberal Democrat","Disapprove"
"928","It hasn’t changed","58","Female","London","A","Conservative","Approve"
"929","It hasn’t changed","69","Female","South East","A","Conservative","Neither approve nor disapprove"
"930","It hasn’t changed","66","Female","Yorkshire and the Humber","E","Conservative","Approve"
"931","It hasn’t changed","54","Male","Yorkshire and the Humber","C1","Brexit Party","Approve"
"932","It hasn’t changed","73","Male","East of England","D","Conservative","Approve"
"933","It is less than half what it was","76","Female","West Midlands","C1","Conservative","Neither approve nor disapprove"
"934","It hasn’t changed","76","Male","London","C1","Conservative","Approve"
"935","It hasn’t changed","35","Male","London","A","Liberal Democrat","Neither approve nor disapprove"
"936","It hasn’t changed","65","Female","East Midlands","B","Other","Neither approve nor disapprove"
"937","It hasn’t changed","68","Female","East of England","A","Liberal Democrat","Strongly approve"
"938","It is less than half what it was","49","Male","Scotland","C2","Liberal Democrat","Neither approve nor disapprove"
"939","It hasn’t changed","71","Female","South East","A","Don't know","Neither approve nor disapprove"
"940","It hasn’t changed","58","Male","North East","C2","Conservative","Approve"
"941","It has decreased by less than a quarter","38","Female","South West","C2","Liberal Democrat","Strongly disapprove"
"942","It hasn’t changed","55","Female","Yorkshire and the Humber","B","Liberal Democrat","Approve"
"943","It hasn’t changed","69","Male","North West","A","Labour","Disapprove"
"944","It hasn’t changed","48","Female","North West","C1","Labour","Disapprove"
"945","It has decreased by between a quarter and a half","55","Female","Yorkshire and the Humber","C2","Labour","Strongly disapprove"
"946","It has decreased by less than a quarter","59","Male","West Midlands","C2","Conservative","Approve"
"947","It hasn’t changed","71","Male","North East","E","Labour","Neither approve nor disapprove"
"948","It has decreased by less than a quarter","40","Male","Yorkshire and the Humber","E","Labour","Disapprove"
"949","It has decreased by less than a quarter","56","Female","East Midlands","D","Labour","Approve"
"950","It has decreased by less than a quarter","63","Female","South West","C2","Conservative","Approve"
"951","It hasn’t changed","37","Female","Yorkshire and the Humber","C1","Labour","Disapprove"
"952","It has increased","40","Male","South East","D","Conservative","Approve"
"953","It hasn’t changed","38","Male","London","E","Labour","Neither approve nor disapprove"
"954","It hasn’t changed","67","Female","Wales","C2","Conservative","Approve"
"955","It hasn’t changed","53","Male","Yorkshire and the Humber","E","Brexit Party","Neither approve nor disapprove"
"956","It hasn’t changed","49","Female","East of England","C1","Labour","Disapprove"
"957","It hasn’t changed","32","Female","South East","B","Liberal Democrat","Approve"
"958","It hasn’t changed","56","Male","South East","A","Conservative","Approve"
"959","It has decreased by less than a quarter","67","Female","East of England","E","Conservative","Strongly approve"
"960","It hasn’t changed","37","Male","North East","E","Labour","Strongly disapprove"
"961","It has decreased by between a quarter and a half","32","Female","South West","D","Conservative","Neither approve nor disapprove"
"962","It hasn’t changed","38","Female","West Midlands","C1","Green","Neither approve nor disapprove"
"963","It hasn’t changed","58","Female","South East","C2","Labour","Neither approve nor disapprove"
"964","It has increased","43","Female","South East","E","Labour","Strongly disapprove"
"965","It hasn’t changed","68","Female","West Midlands","C1","Conservative","Strongly approve"
"966","It hasn’t changed","57","Female","North West","C1","Conservative","Neither approve nor disapprove"
"967","It hasn’t changed","61","Male","North West","C1","Conservative","Neither approve nor disapprove"
"968","Don’t know","69","Female","West Midlands","C2","Conservative","Approve"
"969","It has increased","64","Female","East of England","D",NA,"Disapprove"
"970","It hasn’t changed","49","Male","South East","C1","Conservative","Approve"
"971","It hasn’t changed","56","Male","North West","C1","Liberal Democrat","Strongly disapprove"
"972","It has decreased by between a quarter and a half","47","Female","South East","C2","Conservative","Approve"
"973","It hasn’t changed","38","Female","East Midlands","B","Labour","Disapprove"
"974","It hasn’t changed","54","Male","Wales","A","Liberal Democrat","Neither approve nor disapprove"
"975","It has decreased by between a quarter and a half","50","Male","North West","C2",NA,"Approve"
"976","It has decreased by less than a quarter","46","Male","South East","B","Liberal Democrat","Disapprove"
"977","It has decreased by less than a quarter","54","Male","North West","C1","Conservative","Neither approve nor disapprove"
"978","It hasn’t changed","47","Female","East of England","C1","Labour","Neither approve nor disapprove"
"979","It hasn’t changed","49","Male","East Midlands","A",NA,"Approve"
"980","It has increased","56","Female","East of England","E","Conservative","Strongly disapprove"
"981","It hasn’t changed","62","Female","West Midlands","C1","Conservative","Approve"
"982","It hasn’t changed","54","Male","North West","B","Labour","Disapprove"
"983","It hasn’t changed","41","Female","West Midlands","B","Conservative","Approve"
"984","It hasn’t changed","53","Female","Yorkshire and the Humber","C2","Conservative","Neither approve nor disapprove"
"985","It has decreased by less than a quarter","57","Female","Yorkshire and the Humber","C1","Conservative","Approve"
"986","It hasn’t changed","76","Female","North East","C1","Labour","Neither approve nor disapprove"
"987","It hasn’t changed","72","Male","East of England","D","Conservative","Neither approve nor disapprove"
"988","It hasn’t changed","35","Male","East of England","E","Labour","Strongly disapprove"
"989","It has decreased by less than a quarter","60","Female","London","C1","Other","Approve"
"990","It hasn’t changed","68","Female","North East","B","Labour","Strongly disapprove"
"991","It hasn’t changed","67","Male","North West","A","Labour","Strongly approve"
"992","It hasn’t changed","74","Female","East of England","C2","Conservative","Approve"
"993","It has decreased by less than a quarter","40","Female","East Midlands","B","Conservative","Neither approve nor disapprove"
"994","It has decreased by less than a quarter","48","Male","Yorkshire and the Humber","C2",NA,"Approve"
"995","It is less than half what it was","55","Female","East Midlands","C1",NA,"Approve"
"996","It hasn’t changed","70","Female","East of England","B","Green","Neither approve nor disapprove"
"997","It hasn’t changed","34","Female","South East","E",NA,"Disapprove"
"998","It has decreased by less than a quarter","63","Female","North West","E","Labour","Neither approve nor disapprove"
"999","It hasn’t changed","63","Female","North West","D",NA,"Approve"
"1000","It hasn’t changed","40","Male","London","C1","Conservative","Strongly approve"
"1001","It has decreased by between a quarter and a half","58","Female","South East","C1",NA,"Disapprove"
"1002","It hasn’t changed","73","Female","North West","A","Conservative","Strongly approve"
"1003","It has decreased by less than a quarter","54","Male","South East","C2","Conservative","Approve"
"1004","It has decreased by less than a quarter","59","Female","Yorkshire and the Humber","C1","Conservative","Approve"
"1005","It has decreased by between a quarter and a half","55","Female","Wales","C2","Conservative","Strongly approve"
"1006","It hasn’t changed","74","Female","South East","A","Conservative","Approve"
"1007","It hasn’t changed","58","Female","West Midlands","C1","Conservative","Neither approve nor disapprove"
"1008","It hasn’t changed","51","Male","South East","C1","Conservative","Approve"
"1009","It hasn’t changed","71","Male","East of England","B","Conservative","Approve"
